65	DUR_VAL	65
66	DUR_VAL	66
67	DUR_VAL	67
68	DUR_VAL	68
69	DUR_VAL	69
70	DUR_VAL	70
71	DUR_VAL	71
72	DUR_VAL	72
73	DUR_VAL	73
74	DUR_VAL	74
75	DUR_VAL	75
76	DUR_VAL	76
77	DUR_VAL	77
78	DUR_VAL	78
79	DUR_VAL	79
80	DUR_VAL	80
81	DUR_VAL	81
82	DUR_VAL	82
83	DUR_VAL	83
84	DUR_VAL	84
85	DUR_VAL	85
86	DUR_VAL	86
87	DUR_VAL	87
88	DUR_VAL	88
89	DUR_VAL	89
90	DUR_VAL	90
91	DUR_VAL	91
92	DUR_VAL	92
93	DUR_VAL	93
94	DUR_VAL	94
95	DUR_VAL	95
96	DUR_VAL	96
97	DUR_VAL	97
98	DUR_VAL	98
99	DUR_VAL	99
100	DUR_VAL	100
101	DUR_VAL	101
102	DUR_VAL	102
103	DUR_VAL	103
104	DUR_VAL	104
105	DUR_VAL	105
106	DUR_VAL	106
107	DUR_VAL	107
108	DUR_VAL	108
109	DUR_VAL	109
110	DUR_VAL	110
111	DUR_VAL	111
112	DUR_VAL	112
113	DUR_VAL	113
114	DUR_VAL	114
115	DUR_VAL	115
116	DUR_VAL	116
117	DUR_VAL	117
118	DUR_VAL	118
119	DUR_VAL	119
120	DUR_VAL	120
121	DUR_VAL	121
122	DUR_VAL	122
123	DUR_VAL	123
124	DUR_VAL	124
125	DUR_VAL	125
126	DUR_VAL	126
127	DUR_VAL	127
128	DUR_VAL	128
129	DUR_VAL	129
130	DUR_VAL	130
131	DUR_VAL	131
132	DUR_VAL	132
133	DUR_VAL	133
134	DUR_VAL	134
135	DUR_VAL	135
136	DUR_VAL	136
137	DUR_VAL	137
138	DUR_VAL	138
139	DUR_VAL	139
140	DUR_VAL	140
141	DUR_VAL	141
142	DUR_VAL	142
143	DUR_VAL	143
144	DUR_VAL	144
145	DUR_VAL	145
146	DUR_VAL	146
147	DUR_VAL	147
148	DUR_VAL	148
149	DUR_VAL	149
150	DUR_VAL	150
151	DUR_VAL	151
152	DUR_VAL	152
153	DUR_VAL	153
154	DUR_VAL	154
155	DUR_VAL	155
156	DUR_VAL	156
157	DUR_VAL	157
158	DUR_VAL	158
159	DUR_VAL	159
160	DUR_VAL	160
161	DUR_VAL	161
162	DUR_VAL	162
163	DUR_VAL	163
164	DUR_VAL	164
165	DUR_VAL	165
166	DUR_VAL	166
167	DUR_VAL	167
168	DUR_VAL	168
169	DUR_VAL	169
170	DUR_VAL	170
171	DUR_VAL	171
172	DUR_VAL	172
173	DUR_VAL	173
174	DUR_VAL	174
175	DUR_VAL	175
176	DUR_VAL	176
177	DUR_VAL	177
178	DUR_VAL	178
179	DUR_VAL	179
180	DUR_VAL	180
181	DUR_VAL	181
182	DUR_VAL	182
183	DUR_VAL	183
184	DUR_VAL	184
185	DUR_VAL	185
186	DUR_VAL	186
187	DUR_VAL	187
188	DUR_VAL	188
189	DUR_VAL	189
190	DUR_VAL	190
191	DUR_VAL	191
192	DUR_VAL	192
193	DUR_VAL	193
194	DUR_VAL	194
195	DUR_VAL	195
196	DUR_VAL	196
197	DUR_VAL	197
198	DUR_VAL	198
199	DUR_VAL	199
200	DUR_VAL	200
201	DUR_VAL	201
202	DUR_VAL	202
203	DUR_VAL	203
204	DUR_VAL	204
205	DUR_VAL	205
206	DUR_VAL	206
207	DUR_VAL	207
208	DUR_VAL	208
209	DUR_VAL	209
210	DUR_VAL	210
211	DUR_VAL	211
212	DUR_VAL	212
213	DUR_VAL	213
214	DUR_VAL	214
215	DUR_VAL	215
216	DUR_VAL	216
217	DUR_VAL	217
218	DUR_VAL	218
219	DUR_VAL	219
220	DUR_VAL	220
221	DUR_VAL	221
222	DUR_VAL	222
223	DUR_VAL	223
224	DUR_VAL	224
225	DUR_VAL	225
226	DUR_VAL	226
227	DUR_VAL	227
228	DUR_VAL	228
229	DUR_VAL	229
230	DUR_VAL	230
231	DUR_VAL	231
232	DUR_VAL	232
233	DUR_VAL	233
234	DUR_VAL	234
235	DUR_VAL	235
236	DUR_VAL	236
237	DUR_VAL	237
238	DUR_VAL	238
239	DUR_VAL	239
240	DUR_VAL	240
241	DUR_VAL	241
242	DUR_VAL	242
243	DUR_VAL	243
244	DUR_VAL	244
245	DUR_VAL	245
246	DUR_VAL	246
247	DUR_VAL	247
248	DUR_VAL	248
249	DUR_VAL	249
250	DUR_VAL	250
251	DUR_VAL	251
252	DUR_VAL	252
253	DUR_VAL	253
254	DUR_VAL	254
255	DUR_VAL	255
256	DUR_VAL	256
257	DUR_VAL	257
258	DUR_VAL	258
259	DUR_VAL	259
260	DUR_VAL	260
261	DUR_VAL	261
262	DUR_VAL	262
263	DUR_VAL	263
264	DUR_VAL	264
265	DUR_VAL	265
266	DUR_VAL	266
267	DUR_VAL	267
268	DUR_VAL	268
269	DUR_VAL	269
270	DUR_VAL	270
271	DUR_VAL	271
272	DUR_VAL	272
273	DUR_VAL	273
274	DUR_VAL	274
275	DUR_VAL	275
276	DUR_VAL	276
277	DUR_VAL	277
278	DUR_VAL	278
279	DUR_VAL	279
280	DUR_VAL	280
281	DUR_VAL	281
282	DUR_VAL	282
283	DUR_VAL	283
284	DUR_VAL	284
285	DUR_VAL	285
286	DUR_VAL	286
287	DUR_VAL	287
288	DUR_VAL	288
289	DUR_VAL	289
290	DUR_VAL	290
291	DUR_VAL	291
292	DUR_VAL	292
293	DUR_VAL	293
294	DUR_VAL	294
295	DUR_VAL	295
296	DUR_VAL	296
297	DUR_VAL	297
298	DUR_VAL	298
299	DUR_VAL	299
300	DUR_VAL	300
301	DUR_VAL	301
302	DUR_VAL	302
303	DUR_VAL	303
304	DUR_VAL	304
305	DUR_VAL	305
306	DUR_VAL	306
307	DUR_VAL	307
308	DUR_VAL	308
309	DUR_VAL	309
310	DUR_VAL	310
311	DUR_VAL	311
